PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,2,108,1,21,1,0,523,7.25,147,2
111,1,0,190,0,45,1,0,596,71.2833,81,0
222,1,2,353,0,27,0,0,669,7.925,147,2
333,1,0,272,0,41,1,0,49,53.1,55,2
444,0,2,15,1,41,0,0,472,8.05,147,2
555,0,2,554,1,31,0,0,275,8.4583,147,1
666,0,0,515,1,65,0,0,85,51.8625,129,2
777,0,2,624,1,17,3,1,395,21.075,147,2
880,1,2,412,0,28,0,2,344,11.1333,147,2
1,1,1,576,0,10,1,0,132,30.0708,147,0
12,1,2,727,0,47,1,1,616,16.7,145,2
23,1,0,95,0,70,0,0,38,26.55,49,2
34,0,2,729,1,18,0,0,535,8.05,147,2
45,0,2,28,1,46,1,5,333,31.275,147,2
56,0,2,840,0,10,0,0,413,7.8542,147,2
67,1,1,359,0,66,0,0,153,16.0,147,2
78,0,2,682,1,17,4,1,480,29.125,147,1
89,1,1,867,1,44,0,0,151,13.0,147,2
100,0,2,839,0,35,1,0,301,18.0,147,2
112,1,2,512,0,31,0,0,184,7.225,147,0
123,0,1,273,1,41,0,0,139,26.0,147,2
134,1,1,80,1,39,0,0,152,13.0,111,2
145,1,2,523,0,12,0,0,278,8.0292,147,1
156,1,0,765,1,29,0,0,42,35.5,13,2
167,0,2,626,0,85,3,1,395,21.075,147,2
178,1,2,44,0,45,1,5,329,31.3875,147,2
189,0,2,240,1,31,0,0,179,7.225,147,0
200,0,0,260,1,16,3,2,95,263.0,63,2
211,1,2,605,0,31,0,0,283,7.8792,147,1
223,0,2,813,1,31,0,0,362,7.8958,147,2
234,0,0,828,1,48,0,0,598,27.7208,147,0
245,1,0,776,0,88,1,0,586,146.5208,41,0
256,1,2,289,0,31,0,0,288,7.75,147,1
267,0,1,856,1,79,0,0,549,10.5,147,2
278,0,0,535,1,29,1,0,600,82.1708,147,0
289,0,0,372,1,51,1,0,43,52.0,147,2
300,1,2,505,1,31,0,0,202,7.2292,147,0
311,0,2,134,1,20,0,0,514,8.05,147,2
322,0,2,837,0,15,2,0,302,18.0,147,2
334,1,2,589,0,10,1,0,186,11.2417,147,0
345,0,2,7,0,48,1,0,507,9.475,147,2
356,0,1,827,0,28,1,0,53,21.0,147,2
367,0,2,446,1,31,0,0,391,7.8958,147,0
378,1,1,456,0,32,1,2,634,41.5792,147,0
389,1,2,212,0,16,0,0,282,7.8792,147,1
400,0,2,697,1,31,0,0,617,8.05,147,2
411,0,2,473,1,31,1,0,462,15.5,147,1
422,1,2,604,0,31,0,0,76,7.75,147,1
433,0,2,726,1,31,2,0,190,21.6792,147,0
445,0,2,38,0,15,1,0,377,17.8,147,2
456,0,2,629,1,80,4,1,249,39.6875,147,2
467,0,2,594,1,20,0,0,522,7.8,147,2
478,1,0,333,0,59,1,0,587,76.7292,101,0
489,1,1,246,0,31,1,0,239,26.0,147,2
500,0,0,620,1,78,0,1,29,61.9792,23,0
511,1,0,873,1,88,0,0,94,35.5,71,2
522,1,1,707,0,20,0,0,555,10.5,147,2
533,0,2,595,1,30,0,0,215,7.2292,147,0
544,1,1,853,0,60,1,2,561,27.75,147,2
556,0,2,299,1,7,5,2,566,46.9,147,2
567,0,2,749,1,21,0,0,197,7.2292,147,0
578,1,0,385,0,45,0,0,32,80.0,21,3
589,0,0,337,1,54,1,0,457,83.475,80,2
600,0,2,755,1,47,3,2,337,27.9,147,2
611,0,0,784,1,88,0,0,601,27.7208,147,0
622,1,2,560,1,31,1,1,189,15.2458,147,0
633,1,1,596,0,31,0,0,553,10.5,142,2
644,0,2,185,1,16,0,0,623,8.1583,147,2
655,1,2,25,0,14,4,2,248,7.925,147,2
667,0,2,440,1,27,2,0,270,8.6625,147,2
678,0,1,396,1,36,0,0,557,10.5,147,2
689,0,2,300,0,13,5,2,566,46.9,147,2
700,0,1,376,1,20,0,0,621,73.5,147,2
711,0,2,161,1,27,1,0,204,14.4542,147,0
722,1,2,87,1,36,0,0,80,56.4958,147,2
733,0,2,546,1,26,0,0,347,7.65,140,2
744,0,2,778,1,31,0,0,355,7.8958,147,2
755,0,2,563,1,31,0,0,473,8.05,147,2
766,1,1,127,1,3,0,2,158,29.0,147,2
778,1,2,223,0,33,0,0,432,12.475,147,2
789,0,2,842,1,21,0,0,304,9.0,147,2
800,1,2,737,1,31,0,0,311,9.5,147,2
811,1,2,519,0,31,0,0,280,7.7875,147,1
822,0,0,141,1,29,0,0,25,47.1,147,2
833,1,1,386,0,14,0,0,637,10.5,147,2
844,1,2,52,0,38,3,0,247,15.85,147,2
855,0,2,255,1,13,1,3,676,34.375,147,2
866,0,2,764,1,31,0,0,652,8.05,147,2
877,1,0,259,0,22,3,2,95,263.0,63,2
881,0,2,149,1,24,0,0,297,8.05,147,2
882,0,2,159,1,31,0,0,298,8.05,147,2
883,0,2,31,1,18,0,0,341,7.8542,147,2
884,0,0,150,1,56,1,0,678,61.175,122,2
885,0,2,209,1,27,1,2,548,20.575,147,2
886,0,2,184,1,71,0,0,428,7.25,147,2
887,0,2,740,1,31,0,0,475,8.05,147,2
888,0,0,292,1,83,0,0,607,34.6542,12,0
889,1,0,308,1,22,0,1,612,63.3583,91,0
890,1,1,219,0,39,0,1,117,23.0,147,2
2,0,1,422,1,39,1,0,150,26.0,147,2
3,0,2,656,0,29,0,0,384,7.8958,147,2
4,0,2,658,1,31,0,0,361,7.8958,147,2
5,0,0,858,1,20,0,1,417,77.2875,98,2
6,0,2,405,1,38,0,0,505,8.6542,147,2
7,0,2,312,1,44,2,0,245,7.925,147,2
8,0,2,542,1,29,0,0,354,7.8958,147,2
9,1,2,724,0,20,0,0,296,7.65,147,2
10,1,2,559,1,31,0,0,254,7.775,147,2
11,0,2,675,1,45,0,0,388,7.8958,147,2
13,1,2,552,0,31,1,0,469,24.15,147,1
14,0,0,667,1,57,0,0,2,52.0,52,2
15,0,2,882,0,11,1,0,193,14.4542,147,0
16,0,2,67,1,21,0,0,274,8.05,147,2
17,0,2,417,0,18,1,0,491,9.825,147,2
18,0,2,46,0,14,0,0,176,14.4583,147,0
19,0,2,645,1,20,0,0,666,7.925,147,2
20,0,2,178,1,82,0,0,460,7.75,147,1
21,0,1,826,1,31,1,0,53,21.0,147,2
22,0,0,70,1,24,0,1,585,247.5208,36,0
24,0,2,24,0,17,4,2,333,31.275,147,2
25,0,1,362,1,20,2,0,621,73.5,147,2
26,0,2,551,1,31,0,0,540,8.05,147,2
27,0,1,575,1,37,1,0,132,30.0708,147,0
28,1,1,848,0,37,0,0,219,13.0,116,2
29,0,0,857,1,65,0,1,417,77.2875,98,2
30,1,2,588,1,8,1,0,186,11.2417,147,0
31,0,2,525,1,31,0,0,463,7.75,147,1
32,1,2,499,1,24,0,0,541,7.1417,147,2
33,1,2,653,0,31,1,1,196,22.3583,138,0
35,0,2,234,1,54,0,0,318,6.975,147,2
36,0,2,225,1,38,0,0,380,7.8958,147,0
37,0,2,165,1,18,0,0,640,7.05,147,2
38,0,2,695,0,57,1,0,537,14.5,147,2
39,1,1,851,0,31,1,0,111,26.0,147,2
40,0,1,772,1,26,0,0,552,13.0,147,2
41,0,1,685,1,22,0,0,630,15.0458,147,0
42,1,0,585,0,16,0,2,55,26.2833,107,2
43,0,0,271,1,44,1,0,49,53.1,55,2
44,0,2,618,1,13,0,0,504,9.2167,147,2
46,0,0,282,1,24,0,0,592,79.2,45,0
47,0,2,99,0,31,0,2,203,15.2458,147,0
48,1,2,597,0,21,0,0,332,7.75,147,2
49,1,2,319,0,24,1,0,668,15.85,147,2
50,0,2,116,1,16,0,0,438,6.75,147,1
51,0,1,32,1,15,0,0,118,11.5,147,2
52,0,1,586,1,16,1,1,558,36.75,147,2
53,1,2,29,1,28,0,0,405,7.7958,147,2
54,0,2,254,0,87,2,2,676,34.375,147,2
